prompt_index,prompt,model_name,difficulty,category,tech_stack,module_tags
1,在src/services/copyrightService.ts中，当前registerCopyright函数使用SHA256生成certificate_hash并拼接注册号CR-YYYYMMDD-XXXX。请重构该函数，将注册号生成逻辑和哈希计算逻辑分别提取为独立的纯函数generateRegistrationNumber和computeCertificateHash，同时确保registerCopyright调用这两个函数后行为不变。注意注册号中的日期部分应取registration_date而非当前日期，且XXXX为4位自增序号需从数据库当日最大序号+1计算,gpt-5.4,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
1,在src/services/copyrightService.ts中，当前registerCopyright函数使用SHA256生成certificate_hash并拼接注册号CR-YYYYMMDD-XXXX。请重构该函数，将注册号生成逻辑和哈希计算逻辑分别提取为独立的纯函数generateRegistrationNumber和computeCertificateHash，同时确保registerCopyright调用这两个函数后行为不变。注意注册号中的日期部分应取registration_date而非当前日期，且XXXX为4位自增序号需从数据库当日最大序号+1计算,gemini-3.1-p,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
1,在src/services/copyrightService.ts中，当前registerCopyright函数使用SHA256生成certificate_hash并拼接注册号CR-YYYYMMDD-XXXX。请重构该函数，将注册号生成逻辑和哈希计算逻辑分别提取为独立的纯函数generateRegistrationNumber和computeCertificateHash，同时确保registerCopyright调用这两个函数后行为不变。注意注册号中的日期部分应取registration_date而非当前日期，且XXXX为4位自增序号需从数据库当日最大序号+1计算,DeepSeek-V4-Pro,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
1,在src/services/copyrightService.ts中，当前registerCopyright函数使用SHA256生成certificate_hash并拼接注册号CR-YYYYMMDD-XXXX。请重构该函数，将注册号生成逻辑和哈希计算逻辑分别提取为独立的纯函数generateRegistrationNumber和computeCertificateHash，同时确保registerCopyright调用这两个函数后行为不变。注意注册号中的日期部分应取registration_date而非当前日期，且XXXX为4位自增序号需从数据库当日最大序号+1计算,Doubao-Seed-2.0-Code,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
1,在src/services/copyrightService.ts中，当前registerCopyright函数使用SHA256生成certificate_hash并拼接注册号CR-YYYYMMDD-XXXX。请重构该函数，将注册号生成逻辑和哈希计算逻辑分别提取为独立的纯函数generateRegistrationNumber和computeCertificateHash，同时确保registerCopyright调用这两个函数后行为不变。注意注册号中的日期部分应取registration_date而非当前日期，且XXXX为4位自增序号需从数据库当日最大序号+1计算,GLM-5.1,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
2,"src/services/contractService.ts中的expireContract函数存在Bug：当合同状态为""已终止""时仍可被标记为""已到期""，且getExpiringContracts的30天预警查询未排除已终止合同。请修复这两个问题，确保状态机流转的正确性：草稿→生效中→已到期/已终止，已终止状态不可再变更",gpt-5.4,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
2,"src/services/contractService.ts中的expireContract函数存在Bug：当合同状态为""已终止""时仍可被标记为""已到期""，且getExpiringContracts的30天预警查询未排除已终止合同。请修复这两个问题，确保状态机流转的正确性：草稿→生效中→已到期/已终止，已终止状态不可再变更",gemini-3.1-p,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
2,"src/services/contractService.ts中的expireContract函数存在Bug：当合同状态为""已终止""时仍可被标记为""已到期""，且getExpiringContracts的30天预警查询未排除已终止合同。请修复这两个问题，确保状态机流转的正确性：草稿→生效中→已到期/已终止，已终止状态不可再变更",DeepSeek-V4-Pro,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
2,"src/services/contractService.ts中的expireContract函数存在Bug：当合同状态为""已终止""时仍可被标记为""已到期""，且getExpiringContracts的30天预警查询未排除已终止合同。请修复这两个问题，确保状态机流转的正确性：草稿→生效中→已到期/已终止，已终止状态不可再变更",Doubao-Seed-2.0-Code,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
2,"src/services/contractService.ts中的expireContract函数存在Bug：当合同状态为""已终止""时仍可被标记为""已到期""，且getExpiringContracts的30天预警查询未排除已终止合同。请修复这两个问题，确保状态机流转的正确性：草稿→生效中→已到期/已终止，已终止状态不可再变更",Qwen3.6-Plus,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
3,重构src/services/revenueService.ts中的calculateAuthorShare函数，当前它直接在settleRevenue中内联计算authorShare=amount*revenue_share。请将其抽取为独立函数，同时新增calculateLicenseeShare函数（licenseeShare=amount*(1-revenue_share)），并在settleRevenue中同时记录两方的分成金额到revenues表。需要给revenues表新增licensee_share字段（ALTER TABLE），并修改revenue model的接口定义,gpt-5.4,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
3,重构src/services/revenueService.ts中的calculateAuthorShare函数，当前它直接在settleRevenue中内联计算authorShare=amount*revenue_share。请将其抽取为独立函数，同时新增calculateLicenseeShare函数（licenseeShare=amount*(1-revenue_share)），并在settleRevenue中同时记录两方的分成金额到revenues表。需要给revenues表新增licensee_share字段（ALTER TABLE），并修改revenue model的接口定义,gemini-3.1-p,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
3,重构src/services/revenueService.ts中的calculateAuthorShare函数，当前它直接在settleRevenue中内联计算authorShare=amount*revenue_share。请将其抽取为独立函数，同时新增calculateLicenseeShare函数（licenseeShare=amount*(1-revenue_share)），并在settleRevenue中同时记录两方的分成金额到revenues表。需要给revenues表新增licensee_share字段（ALTER TABLE），并修改revenue model的接口定义,DeepSeek-V4-Pro,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
3,重构src/services/revenueService.ts中的calculateAuthorShare函数，当前它直接在settleRevenue中内联计算authorShare=amount*revenue_share。请将其抽取为独立函数，同时新增calculateLicenseeShare函数（licenseeShare=amount*(1-revenue_share)），并在settleRevenue中同时记录两方的分成金额到revenues表。需要给revenues表新增licensee_share字段（ALTER TABLE），并修改revenue model的接口定义,Doubao-Seed-2.0-Code,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
3,重构src/services/revenueService.ts中的calculateAuthorShare函数，当前它直接在settleRevenue中内联计算authorShare=amount*revenue_share。请将其抽取为独立函数，同时新增calculateLicenseeShare函数（licenseeShare=amount*(1-revenue_share)），并在settleRevenue中同时记录两方的分成金额到revenues表。需要给revenues表新增licensee_share字段（ALTER TABLE），并修改revenue model的接口定义,GLM-5.1,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
4,"在src/routes/copyrights.ts中新增/copyrights/:id/transfer路由（POST），实现版权转让功能：将copyrights记录的work_id关联到新的受让人（需新增transfers表记录转让历史），同时将原版权状态改为""已转让""，为新受让人生成新的待审核版权记录。需要同步修改copyrightController、copyrightService、copyright model，并在数据库初始化中创建transfers表",gpt-5.4,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
4,"在src/routes/copyrights.ts中新增/copyrights/:id/transfer路由（POST），实现版权转让功能：将copyrights记录的work_id关联到新的受让人（需新增transfers表记录转让历史），同时将原版权状态改为""已转让""，为新受让人生成新的待审核版权记录。需要同步修改copyrightController、copyrightService、copyright model，并在数据库初始化中创建transfers表",gemini-3.1-p,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
4,"在src/routes/copyrights.ts中新增/copyrights/:id/transfer路由（POST），实现版权转让功能：将copyrights记录的work_id关联到新的受让人（需新增transfers表记录转让历史），同时将原版权状态改为""已转让""，为新受让人生成新的待审核版权记录。需要同步修改copyrightController、copyrightService、copyright model，并在数据库初始化中创建transfers表",DeepSeek-V4-Pro,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
4,"在src/routes/copyrights.ts中新增/copyrights/:id/transfer路由（POST），实现版权转让功能：将copyrights记录的work_id关联到新的受让人（需新增transfers表记录转让历史），同时将原版权状态改为""已转让""，为新受让人生成新的待审核版权记录。需要同步修改copyrightController、copyrightService、copyright model，并在数据库初始化中创建transfers表",Doubao-Seed-2.0-Code,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
4,"在src/routes/copyrights.ts中新增/copyrights/:id/transfer路由（POST），实现版权转让功能：将copyrights记录的work_id关联到新的受让人（需新增transfers表记录转让历史），同时将原版权状态改为""已转让""，为新受让人生成新的待审核版权记录。需要同步修改copyrightController、copyrightService、copyright model，并在数据库初始化中创建transfers表",Qwen3.6-Plus,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
5,为src/services/contractService.ts编写完整的单元测试：覆盖activateContract（草稿→生效中，非草稿状态应抛错）、terminateContract（生效中→已终止，非生效中应抛错）、expireContract（生效中→已到期，已终止不可再变更）、getExpiringContracts（30天预警，排除已终止）四个函数的所有状态流转路径和边界条件,gpt-5.4,困难,测试,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
5,为src/services/contractService.ts编写完整的单元测试：覆盖activateContract（草稿→生效中，非草稿状态应抛错）、terminateContract（生效中→已终止，非生效中应抛错）、expireContract（生效中→已到期，已终止不可再变更）、getExpiringContracts（30天预警，排除已终止）四个函数的所有状态流转路径和边界条件,gemini-3.1-p,困难,测试,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
5,为src/services/contractService.ts编写完整的单元测试：覆盖activateContract（草稿→生效中，非草稿状态应抛错）、terminateContract（生效中→已终止，非生效中应抛错）、expireContract（生效中→已到期，已终止不可再变更）、getExpiringContracts（30天预警，排除已终止）四个函数的所有状态流转路径和边界条件,DeepSeek-V4-Pro,困难,测试,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
5,为src/services/contractService.ts编写完整的单元测试：覆盖activateContract（草稿→生效中，非草稿状态应抛错）、terminateContract（生效中→已终止，非生效中应抛错）、expireContract（生效中→已到期，已终止不可再变更）、getExpiringContracts（30天预警，排除已终止）四个函数的所有状态流转路径和边界条件,Doubao-Seed-2.0-Code,困难,测试,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
5,为src/services/contractService.ts编写完整的单元测试：覆盖activateContract（草稿→生效中，非草稿状态应抛错）、terminateContract（生效中→已终止，非生效中应抛错）、expireContract（生效中→已到期，已终止不可再变更）、getExpiringContracts（30天预警，排除已终止）四个函数的所有状态流转路径和边界条件,GLM-5.1,困难,测试,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
6,当前项目使用connect-sqlite3存储session，但session密钥hardcode在config/app.ts中。请将密钥改为从环境变量SESSION_SECRET读取（缺失时panic），同时添加session过期时间配置（maxAge: 24h），并在Dockerfile中增加SESSION_SECRET环境变量的传递。修改src/server.ts确保生产环境必须设置SESSION_SECRET,gpt-5.4,困难,DevOps / 工程化,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
6,当前项目使用connect-sqlite3存储session，但session密钥hardcode在config/app.ts中。请将密钥改为从环境变量SESSION_SECRET读取（缺失时panic），同时添加session过期时间配置（maxAge: 24h），并在Dockerfile中增加SESSION_SECRET环境变量的传递。修改src/server.ts确保生产环境必须设置SESSION_SECRET,gemini-3.1-p,困难,DevOps / 工程化,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
6,当前项目使用connect-sqlite3存储session，但session密钥hardcode在config/app.ts中。请将密钥改为从环境变量SESSION_SECRET读取（缺失时panic），同时添加session过期时间配置（maxAge: 24h），并在Dockerfile中增加SESSION_SECRET环境变量的传递。修改src/server.ts确保生产环境必须设置SESSION_SECRET,DeepSeek-V4-Pro,困难,DevOps / 工程化,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
6,当前项目使用connect-sqlite3存储session，但session密钥hardcode在config/app.ts中。请将密钥改为从环境变量SESSION_SECRET读取（缺失时panic），同时添加session过期时间配置（maxAge: 24h），并在Dockerfile中增加SESSION_SECRET环境变量的传递。修改src/server.ts确保生产环境必须设置SESSION_SECRET,Doubao-Seed-2.0-Code,困难,DevOps / 工程化,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
6,当前项目使用connect-sqlite3存储session，但session密钥hardcode在config/app.ts中。请将密钥改为从环境变量SESSION_SECRET读取（缺失时panic），同时添加session过期时间配置（maxAge: 24h），并在Dockerfile中增加SESSION_SECRET环境变量的传递。修改src/server.ts确保生产环境必须设置SESSION_SECRET,Qwen3.6-Plus,困难,DevOps / 工程化,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
7,src/services/copyrightService.ts中的traceCopyright函数当前仅返回单条版权记录。请增强为完整的版权溯源链：从指定版权出发，沿work_id找到所有关联的版权记录（含已转让的）、合同记录、收益记录，组装成树形结构返回。需要在copyright model中新增findTransfersByWorkId查询，在contract model中新增findByWorkId查询，在revenue model中新增findByWorkId查询,gpt-5.4,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
7,src/services/copyrightService.ts中的traceCopyright函数当前仅返回单条版权记录。请增强为完整的版权溯源链：从指定版权出发，沿work_id找到所有关联的版权记录（含已转让的）、合同记录、收益记录，组装成树形结构返回。需要在copyright model中新增findTransfersByWorkId查询，在contract model中新增findByWorkId查询，在revenue model中新增findByWorkId查询,gemini-3.1-p,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
7,src/services/copyrightService.ts中的traceCopyright函数当前仅返回单条版权记录。请增强为完整的版权溯源链：从指定版权出发，沿work_id找到所有关联的版权记录（含已转让的）、合同记录、收益记录，组装成树形结构返回。需要在copyright model中新增findTransfersByWorkId查询，在contract model中新增findByWorkId查询，在revenue model中新增findByWorkId查询,DeepSeek-V4-Pro,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
7,src/services/copyrightService.ts中的traceCopyright函数当前仅返回单条版权记录。请增强为完整的版权溯源链：从指定版权出发，沿work_id找到所有关联的版权记录（含已转让的）、合同记录、收益记录，组装成树形结构返回。需要在copyright model中新增findTransfersByWorkId查询，在contract model中新增findByWorkId查询，在revenue model中新增findByWorkId查询,Doubao-Seed-2.0-Code,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
7,src/services/copyrightService.ts中的traceCopyright函数当前仅返回单条版权记录。请增强为完整的版权溯源链：从指定版权出发，沿work_id找到所有关联的版权记录（含已转让的）、合同记录、收益记录，组装成树形结构返回。需要在copyright model中新增findTransfersByWorkId查询，在contract model中新增findByWorkId查询，在revenue model中新增findByWorkId查询,GLM-5.1,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","版权管理,作品管理,合同管理,收益管理,存证确权"
